metabolite,pval,padj,py.value,comparison,FC,log2FC
1-Methyl Adenosine,4.90E-07,1.37E-05,4.862060682,PBS vs PBS + Cortisone acetate,0.384942303,-1.377285871
1-Methylhistidine,0.949,0.962557143,0.016573479,PBS vs PBS + Cortisone acetate,1.045149697,0.063709595
"10-(Hydroxymethyl)-4-methyl-8,11-dioxa-2,6-diazatricyclo[7.2.1.02,7]dodeca-3,6-dien-5-one",0.252,0.313894737,0.503215966,PBS vs PBS + Cortisone acetate,0.841632977,-0.248736861
2'-Deoxycytidine 5'-monophosphate (dCMP),0.949,0.962557143,0.016573479,PBS vs PBS + Cortisone acetate,1.004039834,0.005816507
2-Amino-4-methylpyrimidine,0.252,0.313894737,0.503215966,PBS vs PBS + Cortisone acetate,0.885552577,-0.17535013
2-Deoxyribose 5-phosphate,0.000276,0.001088667,2.963105074,PBS vs PBS + Cortisone acetate,0.561067846,-0.833752858
2-Hydroxybutyric acid,0.00318,0.007785517,2.108712529,PBS vs PBS + Cortisone acetate,1.575849911,0.656130134
Acetyl-β-methylcholine,0.847,0.925184615,0.033771598,PBS vs PBS + Cortisone acetate,0.951944169,-0.071051132
Acetylcarnitine,0.00589,0.012299706,1.910105274,PBS vs PBS + Cortisone acetate,1.410875565,0.496590752
Acetylcholine,4.06E-05,0.0002059,3.686343653,PBS vs PBS + Cortisone acetate,0.58115727,-0.782999464
Allantoin,0.217,0.302098039,0.519852094,PBS vs PBS + Cortisone acetate,1.396019217,0.481318801
Allopurinol,0.252,0.313894737,0.503215966,PBS vs PBS + Cortisone acetate,0.890086375,-0.167982752
Arginine,0.000221,0.000980688,3.00846936,PBS vs PBS + Cortisone acetate,0.684471506,-0.54693761
Asparagine,0.000765,0.002361522,2.626808052,PBS vs PBS + Cortisone acetate,0.74157466,-0.431336147
Aspartic acid,0.000276,0.001088667,2.963105074,PBS vs PBS + Cortisone acetate,0.676664706,-0.563486954
Betaine,0.000111,0.0005254,3.279509932,PBS vs PBS + Cortisone acetate,0.627820507,-0.671575942
Butyrylcarnitine,7.74E-07,1.37E-05,4.862060682,PBS vs PBS + Cortisone acetate,2.645600492,1.403595219
Carnitine,0.88,0.932537313,0.030333782,PBS vs PBS + Cortisone acetate,0.981904798,-0.026344942
Choline,0.123,0.194066667,0.712049054,PBS vs PBS + Cortisone acetate,1.088586232,0.122455695
Clomazone,0.00434,0.009629375,2.0164019,PBS vs PBS + Cortisone acetate,1.462425724,0.548363353
Creatinine,0.234,0.313471698,0.503801663,PBS vs PBS + Cortisone acetate,1.15916598,0.21308716
Cystine,0.00911,0.017966944,1.745525775,PBS vs PBS + Cortisone acetate,0.76229016,-0.391587841
Cytidine,7.74E-07,1.37E-05,4.862060682,PBS vs PBS + Cortisone acetate,0.492361003,-1.022211596
D-Glucose 6-phosphate,0.000629,0.002029955,2.692513687,PBS vs PBS + Cortisone acetate,2.128334192,1.089724701
Dehydronorketamine,0.00111,0.0031524,2.501358681,PBS vs PBS + Cortisone acetate,2.079177613,1.056013005
Galactosamine/Glucosamine,0.252,0.313894737,0.503215966,PBS vs PBS + Cortisone acetate,0.923175025,-0.115323901
Glutamic acid,5.03E-06,5.10E-05,4.292271706,PBS vs PBS + Cortisone acetate,0.576992163,-0.793376372
Glycerol 3-phosphate,7.01E-06,6.22E-05,4.20611362,PBS vs PBS + Cortisone acetate,1.799789646,0.847828298
Glycine,0.158,0.233708333,0.631325802,PBS vs PBS + Cortisone acetate,0.907701671,-0.139709881
Guanosine,0.000516,0.001744571,2.758311244,PBS vs PBS + Cortisone acetate,0.614117064,-0.703414404
Histidine,0.146,0.225347826,0.647146627,PBS vs PBS + Cortisone acetate,0.871012106,-0.199235325
Homoarginine,0.0016,0.004207407,2.375985433,PBS vs PBS + Cortisone acetate,0.613635708,-0.704545658
Hypoxanthine,0.000421,0.00149455,2.825489551,PBS vs PBS + Cortisone acetate,0.714020713,-0.485962169
Inosine,0.158,0.233708333,0.631325802,PBS vs PBS + Cortisone acetate,0.902582755,-0.147868881
Isovalerylcarnitine,3.09E-07,1.37E-05,4.862060682,PBS vs PBS + Cortisone acetate,2.510077913,1.327732146
Ketamine,0.485,0.573916667,0.241151163,PBS vs PBS + Cortisone acetate,1.374131174,0.45851973
Lactic acid,0.0157,0.030127027,1.521043723,PBS vs PBS + Cortisone acetate,1.450138288,0.536190485
Lysine,0.0511,0.088490244,1.053104608,PBS vs PBS + Cortisone acetate,0.776313869,-0.365288034
Methionine sulfoxide,0.813,0.925184615,0.033771598,PBS vs PBS + Cortisone acetate,1.035364295,0.050138472
Methylimidazoleacetic acid,0.847,0.925184615,0.033771598,PBS vs PBS + Cortisone acetate,0.974815396,-0.036799058
"N3,N4-Dimethyl-L-arginine",0.00683,0.013855143,1.858388992,PBS vs PBS + Cortisone acetate,0.781806993,-0.355115606
"N6,N6,N6-Trimethyl-L-lysine",0.0037,0.008756667,2.057661182,PBS vs PBS + Cortisone acetate,0.762478276,-0.391231861
O-Acetylserine,1.31E-05,9.30E-05,4.031470356,PBS vs PBS + Cortisone acetate,0.544007459,-0.878301662
Ornithine,0.000925,0.002736458,2.56281116,PBS vs PBS + Cortisone acetate,0.655037875,-0.610349767
Phenylalanine,0.186,0.269510204,0.569424787,PBS vs PBS + Cortisone acetate,0.866582437,-0.206591097
Phosphocholine,0.000421,0.00149455,2.825489551,PBS vs PBS + Cortisone acetate,2.700616219,1.433288635
Proline,0.0016,0.004207407,2.375985433,PBS vs PBS + Cortisone acetate,0.80915372,-0.305514289
Propionylcarnitine,0.00506,0.010886667,1.963105074,PBS vs PBS + Cortisone acetate,2.097868376,1.068924163
Prostaglandin E2,0.621,0.722803279,0.140979886,PBS vs PBS + Cortisone acetate,1.063378933,0.08865579
Pyroglutamic acid,1,1,0,PBS vs PBS + Cortisone acetate,1.022548923,0.03216987
Serine,0.0367,0.0651425,1.186135578,PBS vs PBS + Cortisone acetate,0.874534305,-0.193413117
Sugar alcohol,0.0769,0.126974419,0.896283767,PBS vs PBS + Cortisone acetate,0.873105842,-0.195771541
Taurine,0.0568,0.096019048,1.017642606,PBS vs PBS + Cortisone acetate,1.164092194,0.219205321
Thiamine,0.00434,0.009629375,2.0164019,PBS vs PBS + Cortisone acetate,1.449417468,0.535473186
Threonine,0.234,0.313471698,0.503801663,PBS vs PBS + Cortisone acetate,0.900656356,-0.150951342
Thymidine,0.88,0.932537313,0.030333782,PBS vs PBS + Cortisone acetate,1.028940553,0.041159633
Thymine,0.847,0.925184615,0.033771598,PBS vs PBS + Cortisone acetate,1.015971835,0.022860407
Trigonelline,2.50E-06,3.55E-05,4.449771647,PBS vs PBS + Cortisone acetate,0.53598618,-0.899732292
Trimethylamine N-Oxide,4.06E-05,0.0002059,3.686343653,PBS vs PBS + Cortisone acetate,0.443932203,-1.171588729
Tyrosine,0.0259,0.048392105,1.315225484,PBS vs PBS + Cortisone acetate,0.82766222,-0.27288599
Uric acid,0.331,0.398322034,0.399765669,PBS vs PBS + Cortisone acetate,0.954923654,-0.066542701
Uridine,0.949,0.962557143,0.016573479,PBS vs PBS + Cortisone acetate,1.048070739,0.067736094
VLH,0.112,0.180727273,0.742976305,PBS vs PBS + Cortisone acetate,1.30067293,0.379258224
Xanthine,2.35E-05,0.000151682,3.819066474,PBS vs PBS + Cortisone acetate,0.479348207,-1.060854058
Xanthosine,3.58E-06,4.24E-05,4.373009875,PBS vs PBS + Cortisone acetate,0.42973692,-1.218474366
Xylazine,0.29,0.355,0.449771647,PBS vs PBS + Cortisone acetate,1.410486636,0.496192997
dCytidine,0.00268,0.006795714,2.167764889,PBS vs PBS + Cortisone acetate,0.755859349,-0.403810294
dInosine,0.0367,0.0651425,1.186135578,PBS vs PBS + Cortisone acetate,0.756536881,-0.402517679
dUridine,3.10E-05,0.000183417,3.736561203,PBS vs PBS + Cortisone acetate,0.45606678,-1.132683006
β-Alanine,0.217,0.302098039,0.519852094,PBS vs PBS + Cortisone acetate,0.922760114,-0.11597245
γ-Aminobutyric acid,9.62E-06,7.59E-05,4.119809089,PBS vs PBS + Cortisone acetate,0.551859588,-0.857626852
1-Methyl Adenosine,5.80E-07,8.24E-06,5.084283662,PBS vs PBS + Cortisone acetate + Voriconazol,0.433109123,-1.207197534
1-Methylhistidine,0.174,0.252122449,0.598388483,PBS vs PBS + Cortisone acetate + Voriconazol,1.208791999,0.273566016
"10-(Hydroxymethyl)-4-methyl-8,11-dioxa-2,6-diazatricyclo[7.2.1.02,7]dodeca-3,6-dien-5-one",0.653,0.724421875,0.140008444,PBS vs PBS + Cortisone acetate + Voriconazol,1.005656031,0.008136939
2'-Deoxycytidine 5'-monophosphate (dCMP),0.512,0.586322581,0.23186338,PBS vs PBS + Cortisone acetate + Voriconazol,1.173744288,0.231118137
2-Amino-4-methylpyrimidine,0.325,0.404824561,0.392733146,PBS vs PBS + Cortisone acetate + Voriconazol,0.943582518,-0.083779406
2-Deoxyribose 5-phosphate,0.0145,0.0257375,1.58943364,PBS vs PBS + Cortisone acetate + Voriconazol,0.651677342,-0.61777026
2-Hydroxybutyric acid,0.000894,0.001983563,2.702554111,PBS vs PBS + Cortisone acetate + Voriconazol,1.580469464,0.660353162
Acetyl-β-methylcholine,0.367,0.449258621,0.347503581,PBS vs PBS + Cortisone acetate + Voriconazol,0.877526464,-0.18848546
Acetylcarnitine,1.79E-06,1.82E-05,4.74098666,PBS vs PBS + Cortisone acetate + Voriconazol,1.37070939,0.454922731
Acetylcholine,0.000394,0.001075923,2.968218777,PBS vs PBS + Cortisone acetate + Voriconazol,0.726732845,-0.460502984
Allantoin,0.0742,0.114526087,0.941095578,PBS vs PBS + Cortisone acetate + Voriconazol,1.655942016,0.727652156
Allopurinol,0.161,0.238145833,0.623157013,PBS vs PBS + Cortisone acetate + Voriconazol,0.819905788,-0.28646995
Arginine,1.55E-05,8.47E-05,4.072353305,PBS vs PBS + Cortisone acetate + Voriconazol,0.698445594,-0.517780355
Asparagine,0.000834,0.001910129,2.718937294,PBS vs PBS + Cortisone acetate + Voriconazol,0.770824299,-0.375526044
Aspartic acid,8.98E-05,0.00030361,3.517684609,PBS vs PBS + Cortisone acetate + Voriconazol,0.656996912,-0.606041506
Betaine,2.04E-05,9.66E-05,4.015202743,PBS vs PBS + Cortisone acetate + Voriconazol,0.619499354,-0.690825317
Butyrylcarnitine,5.16E-08,1.22E-06,5.913213204,PBS vs PBS + Cortisone acetate + Voriconazol,2.33304147,1.222211951
Carnitine,0.935,0.935,0.029188389,PBS vs PBS + Cortisone acetate + Voriconazol,0.971898778,-0.041122028
Choline,0.000478,0.001256963,2.900677519,PBS vs PBS + Cortisone acetate + Voriconazol,1.123179999,0.16758915
Clomazone,7.12E-05,0.00025276,3.597291653,PBS vs PBS + Cortisone acetate + Voriconazol,2.046215381,1.032958009
