species	genus	family	order	class	phylum	superkingdom	LIB-B-pool1_barcode52	LIB-B-pool1_barcode78	LIB-B-pool1_barcode39	LIB-B-pool1_barcode71	LIB-B-pool1_barcode61	LIB-B-pool1_barcode51	LIB-B-pool1_barcode77	LIB-B-pool1_barcode49	LIB-B-pool1_barcode63	LIB-B-pool1_barcode92	LIB-B-pool1_barcode34	LIB-B-pool2_barcode14	LIB-B-pool1_barcode02	LIB-B-pool1_barcode83	LIB-B-pool1_barcode26	LIB-B-pool1_barcode23	LIB-B-pool2_barcode18	LIB-B-pool2_barcode12	LIB-B-pool1_barcode91	LIB-B-pool2_barcode05	LIB-B-pool1_barcode60	LIB-B-pool1_barcode50	LIB-B-pool1_barcode28	LIB-B-pool1_barcode73	LIB-B-pool1_barcode25	LIB-B-pool2_barcode13	LIB-B-pool2_barcode19	LIB-B-pool1_barcode90	LIB-B-pool1_barcode62	LIB-B-pool2_barcode10	LIB-B-pool1_barcode10	LIB-B-pool2_barcode09	LIB-B-pool2_barcode08	LIB-B-pool2_barcode25	LIB-B-pool2_barcode22	LIB-B-pool1_barcode46	LIB-B-pool1_barcode59	LIB-B-pool1_barcode37	LIB-B-pool2_barcode07	LIB-B-pool1_barcode33	LIB-B-pool2_barcode27	LIB-B-pool2_barcode04	LIB-B-pool1_barcode08	LIB-B-pool1_barcode70	LIB-B-pool1_barcode24	LIB-B-pool2_barcode06	LIB-B-pool2_barcode02	LIB-B-pool1_barcode66	LIB-B-pool1_barcode06	LIB-B-pool1_barcode09	LIB-B-pool1_barcode74	LIB-B-pool1_barcode89	LIB-B-pool1_barcode81	LIB-B-pool1_barcode38	LIB-B-pool1_barcode65	LIB-B-pool1_barcode17	LIB-B-pool1_barcode18	LIB-B-pool1_barcode13	LIB-B-pool1_barcode88	LIB-B-pool1_barcode20	LIB-B-pool1_barcode45	LIB-B-pool2_barcode15	LIB-B-pool1_barcode21	LIB-B-pool1_barcode75	LIB-B-pool1_barcode40	LIB-B-pool1_barcode55	LIB-B-pool1_barcode30	LIB-B-pool1_barcode03	LIB-B-pool1_barcode82	LIB-B-pool1_barcode67	LIB-B-pool1_barcode22	LIB-B-pool1_barcode53	LIB-B-pool1_barcode54	LIB-B-pool1_barcode11	LIB-B-pool1_barcode86	LIB-B-pool1_barcode32	LIB-B-pool1_barcode42	LIB-B-pool1_barcode14	LIB-B-pool1_barcode64	LIB-B-pool1_barcode12	LIB-B-pool1_barcode35	LIB-B-pool2_barcode23	LIB-B-pool2_barcode24	LIB-B-pool2_barcode01	LIB-B-pool1_barcode44	LIB-B-pool1_barcode31	LIB-B-pool1_barcode36	LIB-B-pool1_barcode04	LIB-B-pool1_barcode58	LIB-B-pool1_barcode05	LIB-B-pool1_barcode27	LIB-B-pool1_barcode07	LIB-B-pool1_barcode47	LIB-B-pool2_barcode16	LIB-B-pool1_barcode01	LIB-B-pool2_barcode11	LIB-B-pool1_barcode56	LIB-B-pool1_barcode87	LIB-B-pool1_barcode85	LIB-B-pool1_barcode57	LIB-B-pool1_barcode69	LIB-B-pool1_barcode84	LIB-B-pool1_barcode80	LIB-B-pool1_barcode68	LIB-B-pool1_barcode76	LIB-B-pool1_barcode79	LIB-B-pool2_barcode20	LIB-B-pool1_barcode15	LIB-B-pool1_barcode43	LIB-B-pool1_barcode19	LIB-B-pool1_barcode48	LIB-B-pool1_barcode29	LIB-B-pool2_barcode03	LIB-B-pool2_barcode21	LIB-B-pool1_barcode41	LIB-B-pool2_barcode17	LIB-B-pool1_barcode72
Abiotrophia defectiva	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																				0.0033702455464612																																																																									0.01171875								
Abiotrophia para-adiacens	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria												0.0099209268382324																																																																																														0.0063105629728866											
Acidovorax ebreus	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																																																																																																																0.0088284786371494					
Acidovorax sp. 3DHB1	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																																																																																																																0.0102116366674631					
Acidovorax sp. JS42	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																																																																																																																0.0088284786371494					
Acidovorax sp. SR50-6	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																																																																																																																0.0088284786371494					
Acidovorax sp. enrichment culture clone Van1	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																					0.00783378746594																																0.0207229010619469											0.0059955461657054																					0.0033225669181063																														0.0271925526698664		
Acidovorax sp. enrichment culture clone Van23	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria																					0.00783378746594																																0.0207229010619469											0.0059955461657054																					0.0033225669181063																														0.0271925526698664		
Acinetobacter bouvetii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0006768764986841																			0.0012435620141251																																																											
Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria										0.0207110516477093		0.0035431211777088					0.0050539642403821			0.0013791391037663						0.0011231947596942						0.0021616580334465		0.0048475271440757					0.0077637480084877								0.0120076037917551											0.0027739400665781				0.0025550733870895																					0.0025498708200358																								0.0108109081135804									0.0090699485881418	
Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria											0.0039164285249545			0.0138431776989393					0.0058537193864218							0.0127617956671025	0.0109296838348312	0.1060254344688687		0.0418903363786069				0.0043069151611324					0.0502808085120629			0.0308662478962494					0.0130234014107129				0.0174216451563788	0.0010649374080656										0.0053104727621253							0.0024004578129156						0.0036651033223546							0.0141424387713605	0.0191230694711556													0.0208799002451246									0.009264865884293		0.0042713693799107							0.0568237824573893		0.0526377074774157	
Acinetobacter pittii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																															0.0021427785108957																																						
Acinetobacter radioresistens	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																							0.0001291337358341																			0.0053223444323939																																																											
Acinetobacter sp. 11-02	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																						0.0003936525270735																																																																															
Acinetobacter sp. 2C56(2011)	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																																																											0.004103194228604										
Acinetobacter sp. 4076	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																										0.0004489525534791																										0.0013589521007846																																																																	
Acinetobacter sp. 5g	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria												0.0055028055217939																											0.0001595537886808																			0.0011875741559451																																																											
Acinetobacter sp. 75	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria																																						0.0004804265119984																																									0.0023840135366401																																						
