seqID,barcode,libType,extID,libID,sampleID,extractionMethod,concExt,concAmp,concLib,tissueConc,sampleVol,sampleTreatment,notes,sampleName,sampleType,sampleGroup,sampleGroup2,rawReads,filtReads,OTUs,ratioPhylum,ratioClass,ratioOrder,ratioFamily,ratioGenus,ratioSpecies
18100FL-24-06-86,196,abV4-C,EXT-DJ1122-EXTNEG-B,LIB-DJ1122-EXTNEG-B-1,,molzym ultra deep microbiome,0.033180947,0.045806906,0.376865855,,,EXT-NEG,,DJ1122-EXTNEG-B-1,EXT-NEG,DJ1122-EXTNEG-B-1,EXT-NEG,64897,55439,159,159,159,158,156,146,8
18100FL-24-06-45,144,abV4-C,EXT-DJ1122-EXTNEG-A,LIB-DJ1122-EXTNEG-A-1,,molzym ultra deep microbiome,0.023349555,0.057682601,0.072605278,,,EXT-NEG,,DJ1122-EXTNEG-A-1,EXT-NEG,DJ1122-EXTNEG-A-1,EXT-NEG,17968,14810,141,141,141,141,138,129,6
18100FL-24-06-106,219,abV4-C,EXT-DJ1131-PCRNEG-A,LIB-DJ1131-PCRNEG-A-2,,,,0.041108762,0.03325287,,,PCR-NEG,,DJ1131-PCRNEG-A-2,PCR-NEG,DJ1131-PCRNEG-A-2,PCR-NEG,13,3,3,3,3,3,3,3,0
18100FL-24-06-82,190,abV4-C,EXT-DJ1131-PCRNEG-A,LIB-DJ1131-PCRNEG-A-1,,,,0.034849905,0.021280857,,,PCR-NEG,,DJ1131-PCRNEG-A-1,PCR-NEG,DJ1131-PCRNEG-A-1,PCR-NEG,56,4,4,4,4,4,4,4,0
18100FL-24-06-81,189,abV4-C,EXT-DJ1131-PCRPOS-A,LIB-DJ1131-PCRPOS-A-1,,,,13.5469993,0.016273597,,,PCR-POS,,DJ1131-PCRPOS-A-1,PCR-POS,DJ1131-PCRPOS-A-1,PCR-POS,17,6,5,5,5,5,5,5,0
18100FL-24-06-90,201,abV4-C,EXT-CP941b-99-B,LIB-CP941b-99-B-1,SA-CP941b-99,molzym ultra deep microbiome,0.946271445,0.052854123,0.359623627,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,102,lung tissue,6,6,56503,44348,156,156,156,156,156,154,9
18100FL-24-06-89,200,abV4-C,EXT-CP941b-98-B,LIB-CP941b-98-B-1,SA-CP941b-98,molzym ultra deep microbiome,0.425207688,0.052854123,0.15394847,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,101,lung tissue,6,6,41402,34688,83,83,83,83,83,79,5
18100FL-24-07-13,199,abV4-C,EXT-CP941b-97-B,LIB-CP941b-97-B-1,SA-CP941b-97,molzym ultra deep microbiome,0.818463353,1.384778013,10.49928568,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,100,lung tissue,6,6,64019,54869,93,93,93,92,92,87,6
18100FL-24-06-88,198,abV4-C,EXT-CP941b-96-B,LIB-CP941b-96-B-1,SA-CP941b-96,molzym ultra deep microbiome,0.349014403,0.059901339,0.140401005,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,99,lung tissue,6,6,40004,26123,131,131,131,131,128,114,5
18100FL-24-06-87,197,abV4-C,EXT-CP941b-95-B,LIB-CP941b-95-B-1,SA-CP941b-95,molzym ultra deep microbiome,0.31706238,0.045806906,0.174885462,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,98,lung tissue,6,6,40136,30639,133,131,131,131,126,112,6
