metabolite,pval,padj,py.value,comparison,FC,log2FC
(-)-Camphanic acid,0.29,0.374648649,0.42637583,PBS vs PBS + Cortisone acetate,1.374907683,0.459334753
"(8aR,12S,12aR)-12-Hydroxy-4-methyl-4,5,6,7,8,8a,12,12a-octahydro-2H-3-benzoxecine-2,9(1H)-dione",0.102,0.153320755,0.814399052,PBS vs PBS + Cortisone acetate,0.832499638,-0.264478451
(R)-Equol,0.0157,0.029780159,1.526072992,PBS vs PBS + Cortisone acetate,1.937042558,0.953855651
"1,4a-Dimethyl-6-methylene-5-[2-(2-oxo-2,5-dihydro-3-furanyl)ethyl]decahydro-1-naphthalenecarboxylic acid",2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,0.214205014,-2.222935844
1-Methyl Adenosine,0.000421,0.001359716,2.866551723,PBS vs PBS + Cortisone acetate,0.576678198,-0.794161614
1-Phenyl-3-methyl-5-pyrazolone,0.0137,0.026620325,1.574786643,PBS vs PBS + Cortisone acetate,0.652411585,-0.616145695
10-HDA,2.35E-05,0.0001195,3.922632095,PBS vs PBS + Cortisone acetate,3.285383078,1.7160616
11-α-Hydroxy-17-methyltestosterone,0.4,0.495336788,0.305099417,PBS vs PBS + Cortisone acetate,1.202238557,0.265723195
"17-(1-Hydroxyethyl)-10,13-dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-one",0.621,0.687125,0.16296425,PBS vs PBS + Cortisone acetate,0.649470796,-0.622663439
1H-indene-3-carboxamide,0.00589,0.013034352,1.88491056,PBS vs PBS + Cortisone acetate,0.56794296,-0.816182051
"2,3,4-Trihydroxybenzoic acid",0.477,0.558838235,0.252713887,PBS vs PBS + Cortisone acetate,1.170030217,0.226545789
2-(acetylamino)-3-(1H-indol-3-yl)propanoic acid,1,1,0,PBS vs PBS + Cortisone acetate,0.955156154,-0.066191483
2-Aminoadipic acid,5.03E-06,3.54E-05,4.451513031,PBS vs PBS + Cortisone acetate,0.417206731,-1.261165662
2-Hydroxyisocaproic acid,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,3.690919205,1.883980157
2-Hydroxyoctanoic acid,0.000177,0.00070505,3.151780083,PBS vs PBS + Cortisone acetate,2.28898766,1.194709685
2-Hydroxyphenylalanine,0.063,0.102428571,0.989578884,PBS vs PBS + Cortisone acetate,0.729738654,-0.45454822
2-Hydroxyvaleric acid,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,4.281957534,2.098270488
2-Oxoglutaric acid,0.354,0.442963351,0.353632204,PBS vs PBS + Cortisone acetate,0.688969664,-0.537487635
2-[(1S)-1-Hydroxyethyl]-4(1H)-quinazolinone,0.00226,0.00545596,2.263128855,PBS vs PBS + Cortisone acetate,0.400620762,-1.319690906
2/3-Hydroxybutyric acid,0.000925,0.002631845,2.579739652,PBS vs PBS + Cortisone acetate,2.226430674,1.15473269
20 β-Dihydroprednisolone,4.64E-06,3.54E-05,4.451513031,PBS vs PBS + Cortisone acetate,82.90639319,6.373411452
"3,4-Dihydroxybenzenesulfonic acid",0.0079,0.016137607,1.79216087,PBS vs PBS + Cortisone acetate,0.436210663,-1.196903059
"3,4-Dimethoxyphenylacetic acid",5.03E-06,3.54E-05,4.451513031,PBS vs PBS + Cortisone acetate,3.346672804,1.742727509
"3,5-Dimethoxybenzoic acid",2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,11.63069721,3.539865678
"3-(1-hydroxyethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",0.134,0.191772455,0.717213772,PBS vs PBS + Cortisone acetate,0.712334593,-0.489373042
3-(2-Hydroxyethyl)indole,0.000516,0.00164432,2.784013661,PBS vs PBS + Cortisone acetate,0.349461734,-1.516793605
"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione_1",0.0697,0.110319868,0.957346268,PBS vs PBS + Cortisone acetate,0.707363156,-0.499477018
"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione_2",0.0105,0.021088235,1.675959761,PBS vs PBS + Cortisone acetate,2.399175301,1.262538575
